time,BTC,ETH,SOL,XRP,BNB,USDT,ADA,DOT,LUNA,DOGE
2020-11-01 01:00:00,13770.78,389.16,1.556,0.2403,28.59,1.002,0.09378,4.194,0.303,0.002549
2020-11-01 02:00:00,13721.73,387.91,1.553,0.2393,28.39,1.002,0.09374,4.193,0.3011,0.00257
2020-11-01 03:00:00,13700.1,386.75,1.534,0.2392,28.4,1.002,0.09355,4.177,0.3013,0.002574
2020-11-01 04:00:00,13683.91,386.57,1.529,0.2391,28.23,1.002,0.09338,4.157,0.3002,0.002567
2020-11-01 05:00:00,13705.51,386.08,1.531,0.2391,28.27,1.002,0.09315,4.143,0.3006,0.002611
2020-11-01 06:00:00,13728.62,387.01,1.532,0.2396,28.36,1.002,0.09346,4.151,0.3012,0.002576
2020-11-01 07:00:00,13802.37,389.23,1.536,0.2402,28.43,1.002,0.09389,4.171,0.302,0.002574
2020-11-01 08:00:00,13758.55,387.72,1.532,0.2391,28.3,1.002,0.09386,4.141,0.3027,0.002579
2020-11-01 09:00:00,13693.97,386.17,1.504,0.2385,28.29,1.002,0.09312,4.123,0.3013,0.002562
2020-11-01 10:00:00,13735.58,387.62,1.528,0.2394,28.25,1.002,0.09368,4.158,0.3016,0.00258
2020-11-01 11:00:00,13707.31,386.96,1.522,0.239,28.2,1.002,0.09355,4.142,0.3014,0.002601
2020-11-01 12:00:00,13772.28,388.52,1.541,0.2382,28.21,1.002,0.09557,4.146,0.3015,0.00257
2020-11-01 13:00:00,13794.04,387.75,1.541,0.2384,28.15,1.001,0.09599,4.14,0.3011,0.002583
2020-11-01 14:00:00,13803.36,388.15,1.539,0.2388,28.21,1.002,0.09551,4.167,0.3015,0.002606
2020-11-01 15:00:00,13810.43,388.63,1.565,0.2396,28.24,1.002,0.09637,4.184,0.3,0.002614
2020-11-01 16:00:00,13804.51,389.43,1.583,0.2393,28.16,1.002,0.09618,4.165,0.3005,0.002593
2020-11-01 17:00:00,13816.34,389.48,1.594,0.2395,28.16,1.002,0.09644,4.16,0.3005,0.00261
